Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono",Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Café Bohemia,Plastylite,$150.00
Bennie Green – Hornful Of Soul,Bethlehem Records – BX-4019,US,"Vinyl, LP, Reissue, Mono",Jazz,1965,Hard Bop,"No Rating Yet (19 have, 21 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,nan,nan,$150.00
Lou Donaldson – Blues Walk,Blue Note – BST 1593,US,"Vinyl, LP, Album, Stereo",Jazz,1959,"Bop, Hard Bop","Rated 4.38 of 8 votes (44 have, 152 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.8%,"Van Gelder Studio, Hackensack, New Jersey",nan,$150.00
The Ray Draper Quintet Featuring John Coltrane – The Ray Draper Quintet Featuring John Coltrane,"New Jazz – 8228, New Jazz – NJLP 8228",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.24 of 17 votes (124 have, 289 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$150.00
Lou Donaldson – The Natural Soul,Blue Note – BST 84108,US,"Vinyl, LP, Album, Stereo",Jazz,Feb 1963,"Soul-Jazz, Hard Bop","Rated 4.48 of 21 votes (122 have, 164 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$160.00
Johnny Griffin Quartet* – The Kerry Dancers,Riverside Records – RLP 420,US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,"Rated 4.29 of 7 votes (65 have, 121 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,Plaza Sound Studios,nan,$150.00
Max Roach Quintette* – Max,Argo (6) – LP 623,US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.42 of 12 votes (126 have, 122 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.6%,nan,nan,$150.00
Miles Davis – 'Four' & More,Columbia – CL 2453,US,"Vinyl, LP, Album, Promo, Mono",Jazz,1966,"Hard Bop, Modal","Rated 4.67 of 3 votes (11 have, 53 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,nan,nan,$150.00
The Horace Silver Quintet & Trio* – Blowin' The Blues Away,Blue Note – BLP 4017,US,"Vinyl, LP, Album, Mono, Microgroove",Jazz,Oct 1959,Hard Bop,"Rated 4.62 of 78 votes (682 have, 361 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$157.36
"Benny Bailey, Nathan Davis, Mal Waldron, Jimmy Woode, Makaya Ntzhoko*, Charly Campbell* – Soul Eyes / ""Jazz"" Live At The Domicile Munich",MPS Jazz Series – YS-2311-MP,Japan,"Vinyl, LP, Album, Reissue",Jazz,1970,Hard Bop,"Rated 4.33 of 3 votes (17 have, 102 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Domicile, Munich",nan,$150.00
The Horace Silver Quintet – 6 Pieces Of Silver,Blue Note – BLP 1539,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1959,Hard Bop,"Rated 5.00 of 4 votes (24 have, 70 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$153.91
Tommy Turrentine – Tommy Turrentine,Time Records (3) – T/70008,US,"Vinyl, LP, Album, Promo, Mono",Jazz,Mar 1960,Hard Bop,"Rated 5.00 of 2 votes (2 have, 13 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$150.00
John Coltrane With Red Garland – Soultrane,"Prestige – 7142, Prestige – PRLP 7142",US,"Vinyl, LP, Album, Mono",Jazz,1958,Hard Bop,"Rated 4.40 of 85 votes (549 have, 758 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$160.00
Arnett Cobb – Party Time,"Prestige – 7165, Prestige – PRLP 7165",US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Soul-Jazz","Rated 3.67 of 6 votes (102 have, 63 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
Chet Baker – Chet,Riverside Records – RLP 12-299,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Cool Jazz","Rated 4.46 of 24 votes (143 have, 650 want)",Good Plus (G+),Sleeve: Very Good (VG),99.1%,Reeves Sound Studios,nan,$150.00
Charles Mingus – Mingus Ah Um,Columbia – CS 8171,US,"Vinyl, LP, Album, Stereo",Jazz,14 Sep 1959,"Hard Bop, Bop","Rated 4.78 of 122 votes (743 have, 1170 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Columbia 30th Street Studio,nan,$150.00
Oliver Nelson – The Blues And The Abstract Truth,Impulse! – AS-5,US,"Vinyl, LP, Reissue, Repress, Stereo",Jazz,1965,"Hard Bop, Modal","Rated 4.44 of 54 votes (390 have, 664 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
Miles Davis – 'Round About Midnight,Columbia – CL 949,US,"Vinyl, LP, Album, Mono",Jazz,04 Mar 1957,Hard Bop,"Rated 4.56 of 209 votes (1942 have, 1471 want)",Very Good (VG),Sleeve: Very Good (VG),99.5%,nan,nan,$157.50
The Cecil Taylor Quintet* – Stereo Drive,United Artists Records – UAS 5014,US,"Vinyl, LP, Album, Stereo",Jazz,1959,"Hard Bop, Modal","Rated 4.33 of 9 votes (67 have, 162 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
Lee Morgan – Cornbread,Blue Note – BLP 4222,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1967,"Hard Bop, Post Bop","Rated 4.38 of 47 votes (395 have, 528 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),91.5%,"Van Gelder Studio, Englewood Cliffs, New Jersey","All Disc Records, Inc.",$150.59
"Sonny Rollins – Original Music From The Score ""Alfie""",Impulse! – A-9111,Canada,"Vinyl, LP, Mono, Gatefold",Jazz,1966,"Hard Bop, Post Bop","Rated 3.00 of 1 votes (11 have, 41 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.1%,nan,nan,$150.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Blue Note – BLP 4220,US,"Vinyl, LP, Album, Mono",Jazz,Dec 1965,"Hard Bop, Post Bop, Latin Jazz","Rated 4.50 of 50 votes (348 have, 320 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),72.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$160.00
Charles Mingus – Mingus Ah Um,Columbia – CL 1370,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Bop","Rated 4.80 of 5 votes (27 have, 353 want)",Very Good (VG),Sleeve: Very Good (VG),99.0%,Columbia 30th Street Studio,nan,$158.82
Wayne Shorter – Introducing Wayne Shorter,Vee Jay Records – VJLP 3006,US,"Vinyl, LP, Album, Mono",Jazz,1960,Hard Bop,"Rated 4.60 of 10 votes (51 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Bell Sound Studios,nan,$150.00
Lou Donaldson – The Natural Soul,Blue Note – BST 84108,US,"Vinyl, LP, Album, Stereo",Jazz,Feb 1963,"Soul-Jazz, Hard Bop","Rated 4.29 of 7 votes (53 have, 92 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,nan,nan,$155.99
Hank Mobley – Dippin',"Blue Note – 84209, Blue Note – BST 84209, Blue Note – ST-84209",US,"Vinyl, LP, Album, Stereo",Jazz,1966,Hard Bop,"Rated 4.52 of 21 votes (159 have, 238 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
The Incredible Jimmy Smith* – Midnight Special,Blue Note – BLP 4078,US,"Vinyl, LP, Album, Mono, No DG","Jazz, Blues",1961,"Soul-Jazz, Hard Bop","Rated 4.39 of 83 votes (1008 have, 264 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$158.82
The Dave Brubeck Quartet – Time Out,Columbia – CL 1397,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop","Rated 4.60 of 30 votes (329 have, 362 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
Donald Byrd – Mustang!,Blue Note – BST 84238,US,"Vinyl, LP, Album, Stereo",Jazz,1966,"Hard Bop, Soul-Jazz","Rated 4.50 of 34 votes (251 have, 286 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$150.00
Nat Adderley – Little Big Horn!,Riverside Records – RM 474,US,"Vinyl, LP, Album, Mono",Jazz,1963,"Hard Bop, Soul-Jazz","Rated 3.00 of 1 votes (30 have, 33 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$150.00
Art Blakey & The Jazz Messengers – Indestructible,"Blue Note – BLP 4193, Blue Note – 4193",US,"Vinyl, LP, Album, Mono",Jazz,1966,Hard Bop,"Rated 4.57 of 35 votes (279 have, 364 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$150.00
Jackie McLean – Destination... Out!,Blue Note – BLP 4165,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1966,"Hard Bop, Post Bop","Rated 4.80 of 5 votes (13 have, 123 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$150.00
