Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
Art Blakey & The Jazz Messengers – Indestructible,"Blue Note – BLP 4193, Blue Note – 4193",US,"Vinyl, LP, Album, Mono",Jazz,1966,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$179.50,Art Blakey & The Jazz Messengers , Indestructible,Blue Note ,66,VG+,VG+,0.9990000000000001,4.57,35.0,279,364,179.5
Sonny Rollins – Sonny Rollins (Vol. 2),"Blue Note – BLP 1558, Blue Note – 1558",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1964,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,Plastylite,$175.00,Sonny Rollins , Sonny Rollins (Vol. 2),Blue Note ,64,VG+,VG+,1.0,4.5,12.0,92,125,175.0
Hank Mobley – Hi Voltage,Blue Note – BST 84273,US,"Vinyl, LP, Album, Stereo",Jazz,1967,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$180.00,Hank Mobley , Hi Voltage,Blue Note ,67,NM or M-,NM or M-,1.0,4.36,36.0,337,185,180.0
Elmo Hope Ensemble – Sounds From Rikers Island,Audio Fidelity – AFSD 6119,US,"Vinyl, LP, Album, Stereo",Jazz,1963,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),98.5%,,,$178.50,Elmo Hope Ensemble , Sounds From Rikers Island,Audio Fidelity ,63,VG+,NM or M-,0.985,4.5,2.0,18,94,178.5
Freddie Hubbard – Ready For Freddie,Blue Note – BST 84085,US,"Vinyl, LP, Reissue, Stereo",Jazz,1967,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$169.00,Freddie Hubbard , Ready For Freddie,Blue Note ,67,VG,NM or M-,1.0,4.83,12.0,84,149,169.0
Cecil Taylor Quintet – Hard Driving Jazz,United Artists Records – UAL 4014,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.5%,,,$175.00,Cecil Taylor Quintet , Hard Driving Jazz,United Artists Records ,59,NM or M-,VG+,0.995,3.94,16.0,98,290,175.0
Art Blakey & The Jazz Messengers – Meet You At The Jazz Corner Of The World (Volume 1),Blue Note – BLP 4054,US,"Vinyl, LP, Album, Mono",Jazz,Jul 1961,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,Birdland,Plastylite,$170.00,Art Blakey & The Jazz Messengers , Meet You At The Jazz Corner Of The World (Volume 1),Blue Note ,61,VG+,NM or M-,1.0,4.23,26.0,174,169,170.0
Kenny Drew Quintet / Quartet* – This Is New,Riverside Records – RLP 12-236,US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Good Plus (G+),Sleeve: Very Good (VG),99.9%,Reeves Sound Studios,,$170.00,Kenny Drew Quintet / Quartet* , This Is New,Riverside Records ,57,VG,G+,0.9990000000000001,4.0,8.0,47,178,170.0
The Red Garland Trio Plus Ray Barretto – Manteca,Prestige – PRLP 7139,US,"Vinyl, LP, Album, Mono, Bergenfield, NJ",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,,,$165.00,The Red Garland Trio Plus Ray Barretto , Manteca,Prestige ,58,VG+,VG+,0.988,4.75,8.0,66,63,165.0
Red Garland – Red In Bluesville,"Prestige – PRLP 7157, Prestige – 7157",US,"Vinyl, LP, Album, Mono","Jazz, Blues",1959,Hard Bop,Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,,"Abbey Record Manufacturing Co., Inc.",$177.88,Red Garland , Red In Bluesville,Prestige ,59,G+,VG+,0.99,4.67,12.0,153,137,177.88
Yusef Lateef – Suite 16,Atlantic – SD 1563,US,"Vinyl, LP",Jazz,1970,"Soul-Jazz, Classical, Hard Bop",Mint (M),Sleeve: Mint (M),92.5%,,,$174.99,Yusef Lateef , Suite 16,Atlantic ,70,M,M,0.925,4.06,33.0,498,215,174.99
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono, NY USA Pressing",Jazz,1962,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$170.00,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,VG+,VG,0.9990000000000001,4.89,18.0,133,324,170.0
The Jazz Messengers* – At The Cafe Bohemia Volume 1,Blue Note – BLP 1507,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1956,Hard Bop,Good Plus (G+),Sleeve: Good (G),100.0%,Café Bohemia,Plastylite,$175.00,The Jazz Messengers* , At The Cafe Bohemia Volume 1,Blue Note ,56,G,G+,1.0,4.52,46.0,303,435,175.0
Hank Mobley – The Turnaround,Blue Note – BLP 4186,US,"Vinyl, LP, Album, Mono, Plastylite Pressing",Jazz,1965,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),99.1%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$175.00,Hank Mobley , The Turnaround,Blue Note ,65,VG+,VG,0.991,4.66,35.0,197,373,175.0
Blue Mitchell – The Thing To Do,Blue Note – BLP 4178,US,"Vinyl, LP, Album, Mono",Jazz,May 1965,Hard Bop,Good Plus (G+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$170.00,Blue Mitchell , The Thing To Do,Blue Note ,65,VG,G+,1.0,4.8,15.0,117,316,170.0
The Red Garland Quintet Featuring John Coltrane And Donald Byrd – Soul Junction,Prestige – PRLP 7181,US,"Vinyl, LP, Album, Mono, Deep groove",Jazz,Oct 1960,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),99.6%,,,$175.00,The Red Garland Quintet Featuring John Coltrane And Donald Byrd , Soul Junction,Prestige ,60,VG+,VG,0.996,4.28,32.0,218,364,175.0
Sonny Rollins – Way Out West,"Contemporary Records – C 3530, Contemporary Records – C3530",US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),99.5%,Contemporary's Studio,"RCA Records Pressing Plant, Hollywood",$172.99,Sonny Rollins , Way Out West,Contemporary Records ,57,VG,VG,0.995,4.59,46.0,337,575,172.99
