Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$325.00
John Coltrane – The Believer,Jazz,20 Apr 1964,Hard Bop,"Rated 4.43 of 7 votes (72 have, 174 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$333.00
John Coltrane – Blue Train,Jazz,1959,Hard Bop,"Rated 4.75 of 69 votes (312 have, 988 want)",Good Plus (G+),Sleeve: Fair (F),100.0%,$348.78
Roy Haynes Quartet – Out Of The Afternoon,Jazz,1966,"Bop, Hard Bop","Rated 4.60 of 10 votes (53 have, 200 want)",Mint (M),Sleeve: Near Mint (NM or M-),95.2%,$350.00
Sonny Criss – At The Crossroads with Sonny Criss,Jazz,1959,Hard Bop,"Rated 4.43 of 7 votes (25 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$349.99
Benny Golson – Gone With Golson,Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (66 have, 165 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),97.2%,$349.95
The Horace Silver Quintet – Song For My Father (Cantiga Para Meu Pai),Jazz,Dec 1964,"Hard Bop, Latin Jazz","Rated 4.53 of 17 votes (142 have, 292 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$350.00
Hank Mobley – Le Message De Hank Mobley,Jazz,1959,Hard Bop,"Rated 4.50 of 2 votes (10 have, 109 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,$349.95
Hank Mobley Quintet* – Mobley's 2nd Message,Jazz,1957,Hard Bop,"Rated 4.50 of 8 votes (53 have, 165 want)",Very Good (VG),Sleeve: Not Graded,99.9%,$334.89
Ike Quebec – Heavy Soul,Jazz,1962,Hard Bop,"Rated 4.17 of 12 votes (58 have, 161 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),98.2%,$335.00
Eric Dolphy Quintet – Outward Bound,Jazz,1960,"Hard Bop, Post Bop","Rated 4.64 of 42 votes (197 have, 446 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,$350.00
"Donald Byrd – At The Half Note Cafe, Vol. 2",Jazz,Nov 1963,Hard Bop,"Rated 5.00 of 10 votes (78 have, 169 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$399.00
"Max Roach – Deeds, Not Words",Jazz,1958,Hard Bop,"Rated 4.69 of 16 votes (135 have, 253 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$375.00
Jackie McLean – It's Time!,Jazz,Jun 1965,Hard Bop,"Rated 4.42 of 19 votes (97 have, 254 want)",Near Mint (NM or M-),Sleeve: Not Graded,100.0%,$365.65
Dizzy Reece – Star Bright,Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.4%,$350.00
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$350.00
Jackie McLean – Right Now!,Jazz,1966,Hard Bop,"Rated 4.68 of 19 votes (119 have, 193 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$398.98
Red Garland – When There Are Grey Skies,Jazz,1962,Hard Bop,"No Rating Yet (11 have, 22 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$355.00
Sonny Rollins – Freedom Suite,Jazz,1958,Hard Bop,"Rated 4.38 of 29 votes (261 have, 275 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$400.00
The Horace Silver Quintet Plus J.J. Johnson – The Cape Verdean Blues,Jazz,Dec 1965,"Hard Bop, Post Bop, Latin Jazz","Rated 4.49 of 49 votes (347 have, 320 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),97.1%,$360.00
Sonny Rollins – Way Out West,Jazz,1958,Hard Bop,"Rated 4.75 of 16 votes (79 have, 240 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.1%,$362.99
The Prestige All Stars – All Night Long,Jazz,1957,Hard Bop,"Rated 4.60 of 5 votes (69 have, 225 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,$350.00
Lee Morgan – Delightfulee,Jazz,1967,Hard Bop,"Rated 4.73 of 11 votes (94 have, 240 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.9%,$314.39
The Miles Davis Quintet – Cookin' With The Miles Davis Quintet,Jazz,1958,Hard Bop,"Rated 4.82 of 34 votes (315 have, 257 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$333.00
The John Coltrane Quartet – Africa / Brass,Jazz,1961,"Free Jazz, Hard Bop, Modal","Rated 5.00 of 1 votes (18 have, 196 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,$350.00
