Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Herbie Hancock – Inventions And Dimensions,Jazz,1964,"Free Improvisation, Hard Bop, Modal","Rated 4.52 of 42 votes (169 have, 829 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.8%,$549.99
Dizzy Reece – Star Bright,Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$500.00
Sonny Rollins – Newk's Time,Jazz,Jan 1959,Hard Bop,"Rated 4.64 of 33 votes (243 have, 416 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,$407.35
Donald Byrd – Fuego,Jazz,Jun 1960,Hard Bop,"Rated 4.70 of 40 votes (242 have, 395 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$449.00
Yusef Lateef And His Jazz Quintet* – The Fabric Of Jazz,Jazz,1959,"Hard Bop, Modal","Rated 5.00 of 3 votes (23 have, 116 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,$450.00
Dizzy Reece – Asia Minor,Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.3%,$400.00
Cannonball Adderley – Somethin' Else,Jazz,1960,"Bop, Hard Bop","Rated 4.79 of 19 votes (127 have, 369 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$475.24
"Thad Jones - Frank Wess - Teddy Charles - Mal Waldron - Doug Watkins - Elvin Jones, The Prestige All Stars – Olio",Jazz,1957,Hard Bop,"Rated 4.50 of 14 votes (58 have, 236 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$587.99
The Dick Morrissey Quartet – Here And Now And Sounding Good!,Jazz,1967,"Hard Bop, Modal","Rated 3.83 of 6 votes (24 have, 129 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),95.2%,$425.00
Woods* / Byrd* – The Young Bloods,Jazz,1956,Hard Bop,"Rated 4.60 of 10 votes (50 have, 177 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$500.00
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (205 have, 409 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$500.00
Thelonious Monk – Brilliant Corners,Jazz,1957,Hard Bop,"Rated 4.38 of 56 votes (381 have, 1061 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$550.00
Cannonball Adderley – Somethin' Else,Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1086 have, 1716 want)",Very Good (VG),Sleeve: Fair (F),98.9%,$500.00
Michael Naura Quintet* – European Jazz Sounds,Jazz,1963,"Hard Bop, Modal","Rated 4.70 of 10 votes (26 have, 188 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,$450.00
Art Blakey & The Jazz Messengers – A Night In Tunisia,Jazz,Mar 1961,Hard Bop,"Rated 4.62 of 21 votes (134 have, 339 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$500.00
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (812 have, 1032 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$450.00
Miles Davis All Stars – Walkin',Jazz,1959,Hard Bop,"No Rating Yet (14 have, 17 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$400.00
Wayne Shorter – Juju,Jazz,1964,Hard Bop,"Rated 4.68 of 31 votes (136 have, 707 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,$500.00
Horace Parlan Quintet – On The Spur Of The Moment,Jazz,1961,Hard Bop,"Rated 4.50 of 8 votes (76 have, 195 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$500.00
